timestamp,close,price_change_1s,price_change_5s,volatility_10s,volume_10s,price_acceleration
1760801923000,106828.67,0.00011987626930931583,0.00011994941451121122,0.0,0.289000004529953,12.8046875
1760801924000,106828.68,7.313111893836322e-08,0.0001200225597131066,0.0,0.24677999317646027,-12.796875
1760801925000,106828.68,0.0,0.0001199494072352536,0.0,0.23375001549720764,-0.0078125
1760801926000,106828.68,0.0,0.0001199494072352536,0.0,0.2235499918460846,0.0
1760801927000,106830.75,1.9379744117031805e-05,0.00013933147420175374,0.0,0.319350004196167,2.0703125
1760801928000,106830.74,-7.312969074746434e-08,1.937974593602121e-05,0.0,0.299780011177063,-2.078125
1760801929000,106832.58,1.7185479009640403e-05,3.6492423532763496e-05,0.0,0.32607999444007874,1.84375
1760801930000,106838.51,5.550448622670956e-05,9.199893975164741e-05,0.0,0.3649199903011322,4.09375
1760801931000,106838.51,0.0,9.199893975164741e-05,0.0,0.3741599917411804,-5.9296875
1760801932000,106838.51,0.0,7.261778227984905e-05,0.0,0.37349995970726013,0.0
1760801933000,106838.5,-7.312438299322821e-08,7.261778955580667e-05,0.0,0.29399001598358154,-0.0078125
1760801934000,106838.51,7.312439009865557e-08,5.550448622670956e-05,0.0,0.2942999601364136,0.015625
1760801935000,106838.51,0.0,0.0,0.0,0.29180997610092163,-0.0078125
1760801936000,106838.5,-7.312438299322821e-08,-7.312438299322821e-08,0.0,0.3423199951648712,-0.0078125
1760801937000,106838.51,7.312439009865557e-08,0.0,0.0,0.2467000037431717,0.015625
1760801938000,106838.5,-7.312438299322821e-08,0.0,0.0,0.2522599995136261,-0.015625
1760801939000,106838.5,0.0,-7.312438299322821e-08,0.0,0.2248300015926361,0.0078125
1760801940000,106838.5,0.0,-7.312438299322821e-08,0.0,0.32907000184059143,0.0
1760801941000,106838.5,0.0,0.0,0.0,0.3534800112247467,0.0
1760801942000,106838.5,0.0,-7.312438299322821e-08,0.0,0.35166001319885254,0.0
1760801943000,106838.51,7.312439009865557e-08,7.312439009865557e-08,0.0,0.29940998554229736,0.0078125
1760801944000,106838.51,0.0,7.312439009865557e-08,0.0,0.2994700074195862,-0.0078125
1760801945000,106838.5,-7.312438299322821e-08,0.0,0.0,0.3052400052547455,-0.0078125
1760801946000,106838.51,7.312439009865557e-08,7.312439009865557e-08,0.0,0.25457000732421875,0.015625
1760801947000,106838.51,0.0,7.312439009865557e-08,0.0,0.25394001603126526,-0.0078125
1760801948000,106838.51,0.0,0.0,0.0,0.24265000224113464,0.0
1760801949000,106841.64,2.9322878617676906e-05,2.9322878617676906e-05,0.0,0.36157000064849854,3.1328125
1760801950000,106848.6,6.515191489597782e-05,9.454983228351921e-05,0.0,0.526710033416748,3.828125
1760801951000,106848.59,-7.311747651783662e-08,9.440357825951651e-05,0.0,0.4948499798774719,-6.96875
1760801952000,106853.52,4.613713099388406e-05,0.00014054506027605385,0.0,0.7350000143051147,4.9375
1760801953000,106856.75,3.0196126317605376e-05,0.0001707454357529059,0.0,0.7400099635124207,-1.703125
1760801954000,106856.75,0.0,0.0001414184080203995,0.0,0.7641799449920654,-3.2265625
1760801955000,106856.75,0.0,7.62615236453712e-05,0.0,0.7584600448608398,0.0
1760801956000,106856.74,-7.31118987573609e-08,7.626153092132881e-05,0.0,0.7616300582885742,-0.0078125
1760801957000,106856.75,7.311190586278826e-08,3.0196126317605376e-05,0.0,0.7658400535583496,0.015625
1760801958000,106856.75,0.0,0.0,0.0,0.76774001121521,-0.0078125
1760801959000,106851.13,-5.256745498627424e-05,-5.256745498627424e-05,0.0,0.7554200887680054,-5.6171875
1760801960000,106837.56,-0.0001270020438823849,-0.00017956281953956932,0.0,0.5951499938964844,-7.953125
